SalePrice,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea
208500,60,8450,7,5,2003,2003,0,150,856,856,854,3,1,8,0,2,548
181500,20,9600,6,8,1976,1976,0,284,1262,1262,0,3,1,6,1,2,460
223500,60,11250,7,5,2001,2002,0,434,920,920,866,3,1,6,1,2,608
140000,70,9550,7,5,1915,1970,0,540,756,961,756,3,1,7,1,3,642
250000,60,14260,8,5,2000,2000,0,490,1145,1145,1053,4,1,9,1,3,836
143000,50,14115,5,5,1993,1995,0,64,796,796,566,1,1,5,0,2,480
307000,20,10084,8,5,2004,2005,0,317,1686,1694,0,3,1,7,1,2,636
200000,60,10382,7,6,1973,1973,32,216,1107,1107,983,3,1,7,2,2,484
129900,50,6120,7,5,1931,1950,0,952,952,1022,752,2,2,8,2,2,468
118000,190,7420,5,6,1939,1950,0,140,991,1077,0,2,2,5,2,1,205
129500,20,11200,5,5,1965,1965,0,134,1040,1040,0,3,1,5,0,1,384
345000,60,11924,9,5,2005,2006,0,177,1175,1182,1142,4,1,11,2,3,736
144000,20,12968,5,6,1962,1962,0,175,912,912,0,2,1,4,0,1,352
279500,20,10652,7,5,2006,2007,0,1494,1494,1494,0,3,1,7,1,3,840
157000,20,10920,6,5,1960,1960,0,520,1253,1253,0,2,1,5,1,1,352
132000,45,6120,7,8,1929,2001,0,832,832,854,0,2,1,5,0,2,576
149000,20,11241,6,7,1970,1970,0,426,1004,1004,0,2,1,5,1,2,480
90000,90,10791,4,5,1967,1967,0,0,0,1296,0,2,2,6,0,2,516
159000,20,13695,5,5,2004,2004,0,468,1114,1114,0,3,1,6,0,2,576
139000,20,7560,5,6,1958,1965,0,525,1029,1339,0,3,1,6,0,1,294
325300,60,14215,8,5,2005,2006,0,1158,1158,1158,1218,4,1,9,1,3,853
139400,45,7449,7,7,1930,1950,0,637,637,1108,0,3,1,6,1,1,280
230000,20,9742,8,5,2002,2002,0,1777,1777,1795,0,3,1,7,1,2,534
129900,120,4224,5,7,1976,1976,0,200,1040,1060,0,3,1,6,1,2,572
154000,20,8246,5,8,1968,2001,668,204,1060,1060,0,3,1,6,1,1,270
256300,20,14230,8,5,2007,2007,0,1566,1566,1600,0,3,1,7,1,3,890
134800,20,7200,5,7,1951,2000,486,180,900,900,0,3,1,5,0,2,576
306000,20,11478,8,5,2007,2008,0,486,1704,1704,0,3,1,7,1,3,772
207500,20,16321,5,6,1957,1997,0,207,1484,1600,0,2,1,6,2,1,319
68500,30,6324,4,6,1927,1950,0,520,520,520,0,1,1,4,0,1,240
40000,70,8500,4,4,1920,1950,0,649,649,649,668,3,1,6,0,1,250
149350,20,8544,5,6,1966,2006,0,1228,1228,1228,0,3,1,6,0,1,271
179900,20,11049,8,5,2007,2007,0,1234,1234,1234,0,3,1,7,0,2,484
165500,20,10552,5,5,1959,1959,0,380,1398,1700,0,4,1,6,1,2,447
277500,120,7313,9,5,2005,2005,0,408,1561,1561,0,2,1,6,1,2,556
309000,60,13418,8,5,2004,2005,0,1117,1117,1132,1320,4,1,9,1,3,691
145000,20,10859,5,5,1994,1995,0,1097,1097,1097,0,3,1,6,0,2,672
153000,20,8532,5,6,1954,1990,0,84,1297,1297,0,3,1,5,1,2,498
109000,20,7922,5,7,1953,2007,0,326,1057,1057,0,3,1,5,0,1,246
82000,90,6040,4,5,1955,1955,0,0,0,1152,0,2,2,6,0,0,0
160000,20,8658,6,5,1965,1965,0,445,1088,1324,0,3,1,6,1,2,440
170000,20,16905,5,6,1959,1959,0,383,1350,1328,0,2,1,5,2,1,308
144000,85,9180,5,7,1983,1983,93,0,840,884,0,2,1,5,0,2,504
130250,20,9200,5,6,1975,1980,491,167,938,938,0,3,1,5,0,1,308
141000,20,7945,5,6,1959,1959,506,465,1150,1150,0,3,1,6,0,1,300
319900,120,7658,9,5,2005,2005,0,1296,1752,1752,0,2,1,6,1,2,576
239686,50,12822,7,5,2003,2003,0,83,1434,1518,631,1,1,6,1,2,670
249700,20,11096,8,5,2006,2006,0,1632,1656,1656,0,3,1,7,0,3,826
113000,190,4456,4,5,1920,2008,0,736,736,736,716,2,3,8,0,0,0
127000,20,7742,5,7,1966,1966,0,192,955,955,0,3,1,6,0,1,386
177000,60,13869,6,6,1997,1997,0,612,794,794,676,3,1,6,0,2,388
114500,50,6240,6,6,1934,1950,0,816,816,816,0,3,1,6,1,2,528
110000,90,8472,5,5,1963,1963,712,0,816,816,0,2,1,5,0,2,516
385000,20,50271,9,5,1981,1987,0,32,1842,1842,0,0,1,5,1,3,894
130000,80,7134,5,5,1955,1955,0,0,384,1360,0,3,1,6,1,2,572
180500,20,10175,6,5,1964,1964,0,935,1425,1425,0,3,1,7,1,2,576
172500,160,2645,8,5,1999,2000,0,321,970,983,756,3,1,7,0,2,480
196500,60,11645,7,5,2004,2004,0,860,860,860,860,3,1,7,0,2,565
438780,60,13682,10,5,2006,2006,0,1410,1410,1426,1519,3,1,10,1,3,641
124900,20,7200,5,7,1972,1972,0,148,780,780,0,2,1,4,0,1,352
158000,20,13072,6,5,2004,2004,0,217,1158,1158,0,3,1,5,0,2,576
101000,75,7200,5,7,1920,1996,0,530,530,581,530,3,1,6,0,1,288
202500,120,6442,8,5,2006,2006,0,1346,1370,1370,0,2,1,6,1,2,484
140000,70,10300,7,6,1921,1950,0,576,576,902,808,3,1,9,0,2,480
219500,60,9375,7,5,1997,1998,0,318,1057,1057,977,3,1,8,0,2,645
317000,60,9591,8,5,2004,2005,0,1143,1143,1143,1330,4,1,9,1,3,852
180000,20,19900,7,5,1970,1989,0,1035,1947,2207,0,3,1,7,1,2,576
226000,20,10665,7,5,2003,2003,0,440,1453,1479,0,3,1,7,0,2,558
80000,30,4608,4,6,1945,1950,0,747,747,747,0,2,1,4,0,1,220
225000,50,15593,7,4,1953,1953,0,701,1304,1304,983,3,1,7,1,2,667
244000,20,13651,7,6,1973,1973,0,343,2223,2223,0,3,1,8,2,2,516
129500,20,7599,4,6,1982,2006,0,280,845,845,0,2,1,4,0,2,360
185000,60,10141,7,5,1998,1998,0,832,832,885,833,3,1,7,1,2,427
144900,20,10200,5,7,1954,2003,362,404,1086,1086,0,3,1,6,0,2,490
107400,50,5790,3,6,1915,1950,0,840,840,840,765,3,2,8,0,1,379
91000,180,1596,4,5,1973,1973,0,0,462,526,462,2,1,5,0,1,297
135750,20,8475,4,7,1956,1956,0,724,952,952,0,2,1,4,0,1,283
127000,50,8635,5,5,1948,2001,41,295,672,1072,213,2,1,6,0,1,240
136500,90,10778,4,5,1968,1968,0,1768,1768,1768,0,4,2,8,0,0,0
110000,50,10440,5,6,1910,1981,0,440,440,682,548,2,1,5,0,2,440
193500,60,13000,6,6,1968,1968,0,448,896,1182,960,4,1,8,1,1,509
153500,120,4500,6,5,1998,1998,0,36,1237,1337,0,2,1,5,0,2,405
245000,20,10206,8,5,2007,2007,0,1530,1563,1563,0,3,1,6,1,3,758
126500,20,8892,5,5,1960,1960,0,1065,1065,1065,0,3,1,6,0,2,461
168500,80,8530,7,5,1995,1996,0,384,384,804,670,3,1,7,1,2,400
260000,60,16059,8,5,1991,1992,0,1288,1288,1301,1116,4,1,9,1,2,462
174000,60,11911,6,5,2005,2005,0,684,684,684,876,3,1,6,1,2,400
164500,160,3951,6,5,2009,2009,0,612,612,612,612,2,1,4,0,2,528
85000,50,8470,3,2,1915,1982,0,1013,1013,1013,0,2,1,6,0,0,0
123600,20,8070,4,5,1994,1995,0,402,990,990,0,3,1,5,0,0,0
109900,20,7200,4,5,1950,1950,0,0,0,1040,0,2,1,4,0,2,420
98600,20,8500,5,3,1961,1961,0,635,1235,1235,0,2,1,6,0,2,480
163500,30,13360,5,7,1921,2006,0,163,876,964,0,2,1,5,0,2,432
133900,190,7200,6,6,1910,1998,0,168,1214,1260,1031,4,2,9,1,2,506
204750,60,9337,6,5,1997,1997,0,176,824,905,881,3,1,7,0,2,684
185000,60,9765,6,8,1993,1993,0,370,680,680,790,3,1,6,1,2,420
214000,20,10264,7,5,1999,1999,0,426,1588,1588,0,3,1,6,0,2,472
94750,20,10921,4,5,1965,1965,0,440,960,960,0,3,1,6,0,1,432
83000,30,10625,5,5,1920,1950,0,350,458,835,0,2,1,5,0,1,366
128950,20,9320,4,5,1959,1959,0,381,950,1225,0,3,1,6,0,0,0
205000,20,10603,6,7,1977,2001,0,410,1610,1610,0,3,1,6,2,2,480
178000,60,9206,6,5,1985,1985,0,741,741,977,755,3,1,7,1,2,476
118964,90,7018,5,5,1979,1979,0,0,0,1535,0,4,2,8,0,2,410
198900,20,10402,7,5,2009,2009,0,1226,1226,1226,0,3,1,6,0,3,740
169500,50,7758,7,4,1931,1950,0,816,1040,1226,592,4,1,7,2,1,240
250000,60,9375,8,5,2003,2004,0,1053,1053,1053,939,3,1,9,1,2,648
100000,30,10800,4,7,1885,1995,0,641,641,1047,0,2,1,6,0,1,273
115000,20,6000,5,5,1948,1950,169,516,789,789,0,2,1,5,0,1,250
115000,50,8500,5,7,1919,2005,0,793,793,997,520,3,1,7,0,0,0
190000,20,11751,6,6,1977,1977,0,1139,1844,1844,0,3,1,7,1,2,546
136900,50,9525,6,4,1954,1972,0,550,994,1216,639,4,1,7,0,1,325
180000,80,7750,7,5,2000,2000,0,134,384,774,656,3,1,7,1,2,400
383970,60,9965,7,5,2007,2007,0,280,1264,1282,1414,4,1,10,1,3,792
217000,20,21000,6,5,1953,1953,869,905,1809,2259,0,3,1,7,2,2,450
259500,70,7259,6,8,1945,2002,150,104,1028,1436,884,3,1,9,1,1,180
176000,160,3230,6,5,1999,1999,0,310,729,729,729,2,1,5,1,2,440
139000,20,11616,5,5,1962,1962,670,252,1092,1092,0,3,1,6,1,1,288
155000,20,8536,5,5,2006,2007,0,1125,1125,1125,0,2,1,5,0,2,430
320000,60,12376,7,5,1990,1990,0,203,1673,1699,1523,5,1,11,2,3,594
163990,60,8461,6,5,2005,2006,0,728,728,728,728,3,1,8,1,2,390
180000,80,21453,6,5,1969,1969,0,0,938,988,0,1,1,4,2,2,540
100000,50,6060,4,5,1939,1950,0,732,732,772,351,3,1,4,0,1,264
136000,20,9464,6,7,1958,1958,0,510,1080,1080,0,3,1,5,0,1,288
153900,120,7892,6,5,1993,1993,0,899,1199,1199,0,2,1,5,0,2,530
181000,20,17043,6,5,1979,1998,0,1362,1362,1586,0,3,1,7,1,2,435
84500,190,6780,6,8,1935,1982,0,30,520,520,0,2,1,5,0,0,0
128000,120,4928,6,5,1976,1976,0,958,1078,958,0,2,1,5,1,2,440
87000,45,4388,5,7,1930,1950,0,556,672,840,0,3,1,5,1,0,0
155000,60,7590,6,5,1966,1966,0,148,660,660,688,3,1,6,1,2,453
150000,20,8973,5,7,1958,1991,28,413,1008,1053,0,3,1,6,0,2,750
226000,60,14200,7,6,1966,1966,0,479,924,1216,941,4,1,8,2,2,487
244000,60,12224,6,5,2000,2000,0,297,992,1022,1032,3,1,7,1,2,390
150750,20,7388,5,6,1959,2002,0,658,1063,1327,0,3,1,7,0,2,624
220000,20,6853,8,5,2001,2002,0,262,1267,1296,0,2,1,6,0,2,471
180000,20,10335,5,6,1968,1993,0,891,1461,1721,0,3,1,7,1,2,440
174000,20,10400,7,6,1970,1970,0,1304,1304,1682,0,3,1,7,1,2,530
143000,20,10355,5,5,1967,1967,0,519,1214,1214,0,3,1,5,1,1,318
171000,90,11070,7,5,1988,1989,0,1907,1907,1959,0,5,2,9,0,3,766
230000,60,9066,8,5,1999,2000,0,336,1004,1004,848,3,1,7,2,3,660
231500,60,15426,6,5,1997,1997,0,107,928,928,836,3,1,7,0,2,470
115000,20,10500,4,5,1971,1971,0,432,864,864,0,3,1,5,1,0,0
260000,20,11645,7,5,2005,2005,0,434,1734,1734,0,3,1,7,0,2,660
166000,50,8520,5,4,1952,1952,0,403,910,910,475,4,1,6,0,2,720
204000,20,10335,7,5,1999,1999,0,811,1490,1501,0,3,1,6,0,2,577
125000,90,9100,5,5,1963,1963,0,396,1728,1728,0,6,2,10,0,2,504
130000,160,2522,6,5,2004,2006,0,970,970,970,739,3,1,7,0,2,380
105000,30,6120,5,7,1931,1993,0,506,715,875,0,2,1,5,0,1,180
222500,60,9505,7,5,2001,2001,0,884,884,884,1151,3,1,8,1,2,434
141000,20,7500,7,5,2004,2005,0,400,1080,1080,0,3,1,6,0,0,0
115000,50,6240,5,4,1936,1950,0,896,896,896,448,3,1,7,0,1,240
122000,20,10356,5,6,1975,1975,0,253,969,969,0,3,1,5,0,2,440
372402,20,13891,8,5,2007,2008,0,310,1710,1710,0,2,1,6,1,3,866
190000,60,14803,6,5,1971,1971,0,409,825,1097,896,4,1,8,1,2,495
235000,20,13500,6,7,1960,1975,1080,93,1602,1252,0,1,1,4,1,2,564
125000,30,11340,6,5,1923,1950,0,1200,1200,1200,0,4,1,7,0,1,312
79000,50,9600,6,5,1924,1950,0,572,572,572,524,2,1,5,0,0,0
109500,20,7200,5,7,1950,1950,0,0,0,1040,0,2,1,5,0,2,625
269500,60,12003,8,5,2009,2010,0,774,774,774,1194,4,1,8,1,3,680
254900,60,12552,7,5,2004,2005,0,769,991,991,956,3,1,8,1,2,678
320000,60,19378,7,5,2005,2006,0,1335,1392,1392,1070,4,1,9,1,2,576
162500,20,11120,6,6,1984,1984,0,572,1232,1232,0,3,1,6,0,2,516
412500,60,13688,9,5,2003,2004,0,556,1572,1572,1096,3,1,10,2,3,726
220000,20,12182,7,5,2005,2005,0,340,1541,1541,0,3,1,7,1,2,532
103200,45,5500,4,6,1956,1956,0,882,882,882,0,1,1,4,0,0,0
152000,40,5400,6,7,1926,2004,0,779,1149,1149,467,3,1,5,0,1,216
127500,190,10106,5,7,1940,1999,181,112,644,808,547,4,2,6,0,0,0
190000,20,10708,5,5,1955,1993,768,470,1617,1867,0,2,1,7,3,1,303
325624,60,10562,8,5,2007,2007,0,294,1582,1610,551,3,1,8,1,3,789
183500,60,8244,7,5,2004,2004,0,840,840,840,880,3,1,7,1,2,440
228000,20,16669,8,6,1981,1981,0,1686,1686,1707,0,2,1,6,1,2,511
128500,50,12358,5,6,1941,1950,0,360,720,854,0,2,1,7,0,2,660
215000,20,31770,6,5,1960,1960,0,441,1080,1656,0,3,1,7,2,2,528
239000,160,5306,7,7,1987,1987,215,354,1064,1064,703,2,1,5,1,2,504
163000,20,10197,6,5,1961,1961,374,700,1362,1362,0,3,1,6,1,2,504
184000,20,12416,6,5,1986,1986,208,0,1606,1651,0,3,1,7,1,2,616
243000,20,12615,6,7,1950,2001,0,725,1202,2158,0,4,1,7,1,2,576
211000,60,10029,6,5,1988,1989,0,320,1151,1164,896,4,1,8,1,2,521
172500,50,13650,5,5,1958,1958,441,554,1052,1252,668,4,1,8,1,2,451
501837,20,17423,9,5,2008,2009,0,312,2216,2234,0,1,1,9,1,3,1166
100000,30,8520,5,6,1923,2006,0,968,968,968,0,2,1,5,0,2,480
177000,160,2117,6,5,2000,2000,0,320,756,769,756,3,1,5,1,2,440
200100,70,7588,7,6,1920,1950,0,441,793,901,901,4,1,9,1,1,216
120000,20,9060,5,6,1957,2006,0,0,0,1340,0,3,1,7,1,1,252
200000,50,11426,7,5,2003,2003,0,1362,1362,1362,720,3,1,6,0,2,484
127000,50,7438,5,8,1908,1991,0,504,504,936,316,3,1,5,0,2,576
475000,75,22950,10,9,1892,1993,0,1107,1107,1518,1518,4,1,12,2,3,840
173000,80,9947,7,5,1990,1991,0,577,1188,1217,0,3,1,6,0,2,497
135000,50,10410,5,7,1916,1987,0,660,660,808,704,3,1,8,0,1,180
153337,90,7018,5,5,1979,1979,0,0,1086,1224,0,2,2,6,2,2,528
286000,120,4923,8,5,2001,2002,0,440,1593,1593,0,0,1,5,1,2,682
315000,70,10570,8,8,1932,1994,0,556,853,1549,1178,3,1,10,2,2,440
184000,60,7472,7,9,1972,2004,0,99,725,725,754,4,1,7,0,2,484
192000,20,9017,7,5,1999,1999,0,871,1431,1431,0,3,1,6,0,2,666
130000,160,2522,7,5,2004,2004,0,970,970,970,739,3,1,7,0,2,380
127000,20,7180,5,7,1972,1972,0,474,864,864,0,3,1,5,0,1,352
148500,160,2280,6,6,1976,1976,0,289,855,855,601,3,1,7,1,2,440
311872,20,9416,7,5,2007,2007,0,600,1726,1726,0,3,1,8,1,3,786
235000,75,25419,8,4,1918,1990,184,140,1360,1360,1360,4,1,8,1,2,795
104000,75,5520,6,6,1912,1950,0,755,755,929,929,5,1,8,0,0,0
274900,20,9591,8,5,2004,2005,0,625,1713,1713,0,3,1,7,1,3,856
140000,20,8546,4,5,2003,2004,0,1121,1121,1121,0,2,1,5,0,2,440
171500,20,10125,6,6,1977,1977,279,276,1196,1279,0,3,1,6,2,2,473
112000,50,7000,6,6,1924,1950,0,0,617,865,445,2,1,6,0,1,398
149000,120,4438,6,5,2004,2004,0,186,848,848,0,1,1,3,1,2,420
110000,50,3500,5,7,1947,1950,0,408,720,720,564,2,1,5,0,1,240
180500,20,11851,7,5,1990,1990,0,1424,1424,1442,0,3,1,5,0,2,500
143900,20,13673,5,5,1962,1962,0,1140,1140,1696,0,3,1,8,1,1,349
141000,20,12493,4,5,1960,1960,306,375,1100,1100,0,3,1,6,1,1,312
277000,60,14364,7,5,1988,1989,0,92,1157,1180,882,3,1,7,1,2,454
145000,20,8250,6,7,1964,1964,0,305,1092,1092,0,3,1,6,0,2,504
98000,30,5604,5,6,1925,1950,0,396,864,864,0,2,1,5,0,0,0
186000,20,10420,6,5,2009,2009,0,1176,1212,1212,0,3,1,6,0,2,460
252678,60,8640,7,5,2009,2009,0,78,900,932,920,3,1,7,1,2,644
156000,20,13568,5,5,1995,1995,0,274,990,990,0,3,1,5,0,2,576
161750,60,10900,6,7,1977,1977,0,311,689,689,703,3,1,6,0,1,299
134450,20,10011,5,6,1957,1996,0,710,1070,1236,0,2,1,6,1,1,447
210000,20,8450,7,5,2004,2004,0,490,1436,1436,0,3,1,8,0,2,484
107000,70,9906,4,4,1925,1950,0,686,686,810,518,3,1,8,0,1,210
311500,50,15660,7,9,1939,2006,0,457,798,1137,817,3,1,8,2,2,431
167240,120,3010,7,5,2005,2006,0,1232,1248,1248,0,2,1,5,0,2,438
204900,20,8990,7,5,2006,2006,0,1498,1498,1498,0,2,1,5,0,2,675
200000,60,8068,6,5,2002,2002,0,1010,1010,1010,1257,4,1,8,1,2,390
179900,60,11475,6,6,1975,1975,0,163,713,811,741,3,1,6,1,2,434
97000,20,10500,4,6,1971,1971,180,160,864,864,0,2,1,4,0,2,576
386250,20,13472,10,5,2003,2003,0,2336,2392,2392,0,3,1,8,1,3,968
112000,160,1680,5,5,1971,1971,0,630,630,630,672,3,1,6,0,1,280
290000,60,9950,7,5,1995,1995,0,638,1203,1214,1306,4,1,9,1,3,721
106000,160,1869,6,6,1970,1970,0,162,483,483,504,2,1,5,0,1,280
125000,20,8521,5,5,1967,1967,0,70,912,912,0,3,1,5,1,1,336
192500,120,3182,7,5,2005,2006,0,1357,1373,1555,0,2,1,7,1,2,430
148000,20,8760,6,6,1959,1959,0,1194,1194,1194,0,3,1,6,0,1,312
403000,60,15138,8,5,1995,1996,0,773,1462,1490,1304,4,1,9,1,3,810
94500,160,1680,6,5,1972,1972,0,483,483,483,504,2,1,5,1,1,288
128200,20,10650,5,6,1976,1976,712,0,894,894,0,3,1,5,0,1,308
216500,60,7851,6,5,2002,2002,0,235,860,860,1100,4,1,8,2,2,440
89500,160,1680,6,3,1971,1971,0,125,483,483,504,2,1,5,0,1,264
185500,20,8773,7,5,2004,2004,0,1390,1414,1414,0,3,1,6,0,2,494
194500,60,9453,7,7,1993,2003,0,594,996,1014,730,3,1,7,0,2,457
318000,20,12030,8,5,2007,2007,0,1694,1694,1694,0,3,1,7,0,3,818
113000,50,8741,6,4,1945,1950,0,641,735,798,689,3,1,7,1,1,220
262500,20,9000,8,5,2008,2008,0,488,1566,1566,0,3,1,7,0,2,750
110500,30,3880,5,9,1945,1997,0,357,686,866,0,2,1,4,0,0,0
79000,50,5000,5,4,1900,1950,0,540,540,889,551,3,1,6,0,1,352
120000,160,10762,6,6,1980,1980,0,626,626,626,591,3,1,6,1,1,288
205000,60,8880,7,5,1994,2002,0,253,948,1222,888,3,1,8,2,2,463
241500,20,10400,7,5,1988,1988,0,916,1845,1872,0,3,1,6,1,2,604
137000,190,9142,6,8,1910,1950,0,1020,1020,908,1020,4,2,9,0,1,440
140000,20,11310,6,5,1954,1954,0,1367,1367,1375,0,2,1,5,1,2,451
180000,60,11317,7,5,2003,2003,0,840,840,840,828,3,1,8,0,2,500
277000,50,159000,6,7,1958,2006,0,747,1444,1444,700,4,1,7,2,2,389
76500,30,5350,3,2,1940,1966,0,728,728,1306,0,3,1,6,0,0,0
235000,120,4750,8,5,2006,2007,0,0,1573,1625,0,2,1,5,1,2,538
173000,60,8366,6,5,2004,2004,0,798,798,798,842,3,1,6,0,2,520
158000,80,9350,6,7,1964,1991,580,452,1302,1302,0,3,1,7,0,1,309
145000,20,8400,5,6,1957,1957,0,392,1314,1314,0,3,1,5,0,1,294
230000,60,8738,7,5,1999,1999,0,975,975,1005,1286,4,1,8,1,2,429
207500,60,8791,6,5,2003,2003,0,361,864,864,864,3,1,7,0,2,673
220000,20,8814,7,5,2006,2006,0,270,1604,1604,0,3,1,8,1,2,660
231500,60,12435,7,5,2001,2001,0,602,963,963,829,3,1,7,1,2,564
97000,20,12702,5,5,1956,1956,0,0,0,882,0,2,1,4,0,1,308
176000,80,19296,6,5,1962,1962,690,0,1362,1382,0,3,1,6,1,2,884
276000,60,9588,8,5,2007,2007,0,1482,1482,1482,1092,3,1,10,1,3,868
151000,80,8471,6,7,1977,1995,0,0,506,1212,0,3,1,6,1,2,492
130000,50,5500,5,7,1929,2001,692,0,926,926,0,3,1,6,0,2,484
73000,30,5232,5,5,1925,2004,0,680,680,764,0,2,1,4,0,2,504
175500,20,12090,6,6,1981,1981,228,606,1422,1422,0,3,1,7,1,2,576
185000,60,11207,6,5,1997,1997,0,88,802,802,709,3,1,8,1,2,413
179500,75,8400,5,8,1939,1997,0,342,720,1052,720,4,1,8,1,1,240
120500,30,6900,5,6,1940,1955,125,212,740,778,0,2,1,4,1,1,924
148000,20,7917,6,7,1976,1976,0,392,1143,1113,0,3,1,6,1,1,504
266000,60,10728,8,5,2006,2006,0,1095,1095,1095,844,3,1,8,1,3,1053
241500,20,39104,7,7,1954,2005,1063,96,1385,1363,0,2,1,5,2,2,439
290000,60,11764,8,7,1999,2007,0,628,1152,1164,1106,4,1,9,1,3,671
139000,20,9600,6,6,1958,1988,620,0,1240,1632,0,3,1,6,1,1,338
124500,20,8314,5,7,1982,1982,0,270,816,816,0,2,1,5,0,1,264
205000,50,7264,7,7,1925,2007,0,952,952,952,596,3,1,5,0,2,672
201000,20,9196,7,5,2003,2003,0,1560,1560,1560,0,3,1,7,0,2,573
141000,20,19138,4,5,1951,1951,0,744,864,864,0,2,1,4,0,2,400
415298,20,14450,9,5,2006,2007,0,2121,2121,2121,0,3,1,8,1,3,732
192000,60,10005,7,5,1977,1977,0,768,1160,1156,866,4,1,8,1,2,505
228500,60,11287,7,6,1989,1989,0,386,807,1175,807,3,1,7,1,2,575
185000,20,7200,6,5,2006,2006,0,357,1262,1262,0,2,1,5,0,2,572
207500,120,5063,7,5,2007,2008,0,410,1314,1314,0,2,1,6,1,2,626
244600,20,9612,8,5,2008,2009,0,1468,1468,1468,0,3,1,6,1,3,898
179200,120,8012,6,5,1992,1992,0,1145,1575,1575,0,2,1,5,0,2,529
164700,160,4251,7,5,2006,2007,0,625,625,625,625,2,1,5,0,2,528
159000,50,9786,6,7,1962,1981,0,312,912,1085,649,3,1,7,1,2,440
